postal.code,district,city,total.pop,females,males,pop.0-2,pop.3-6,pop.7-12,pop.13-15,pop.16-17,pop.18-19,pop.20-24,pop.25-29,pop.30-34,pop.35-39,pop.40-44,pop.45-49,pop.50-54,pop.55-59,pop.60-64,pop.65-69,pop.70-74,pop.75-79,pop.80-84,pop.85.plus,median.income
00100,Helsinki Keskusta - Etu-Töölö,Helsinki,18035,9507,8528,456,508,679,256,201,240,1568,2580,1996,1504,1144,1049,1032,907,804,913,938,540,328,392,25986
00120,Punavuori,Helsinki ,7055,3705,3350,211,227,298,114,89,98,521,868,768,650,474,444,409,367,369,361,338,206,131,112,26284
00130,Kaartinkaupunki,Helsinki ,1522,783,739,32,54,66,29,19,29,115,168,161,119,98,125,91,89,73,101,75,42,23,13,28401
00140,Kaivopuisto - Ullanlinna,Helsinki ,7934,4276,3658,217,245,361,145,100,114,598,890,818,649,543,461,505,458,390,446,408,286,149,151,27696
00150,Eira - Hernesaari,Helsinki ,9527,5119,4408,255,302,303,112,89,94,793,1370,1187,909,736,542,541,474,438,446,394,249,154,139,25499
00160,Katajanokka,Helsinki ,4448,2356,2092,124,163,245,103,71,60,224,322,331,336,289,274,273,262,293,386,330,181,85,96,27188
00170,Kruununhaka,Helsinki ,7427,4007,3420,229,263,309,136,87,112,535,846,781,616,539,466,459,420,389,390,374,225,119,132,27358
00180,Kamppi - Ruoholahti,Helsinki ,13555,7086,6469,416,484,556,241,164,206,999,1742,1658,1280,865,796,875,751,653,655,545,318,208,143,24835
00190,Suomenlinna,Helsinki ,748,379,369,28,52,77,26,14,15,21,25,45,62,70,53,94,46,41,31,24,12,8,4,24881
00200,Lauttasaari,Helsinki ,15183,8241,6942,521,640,778,279,164,197,962,1733,1693,1432,1189,818,758,681,706,810,698,428,286,410,26155
00210,Vattuniemi,Helsinki ,8044,4330,3714,314,392,439,161,97,71,286,583,806,757,555,472,461,479,456,570,509,278,188,170,29616
00220,Jätkäsaari,Helsinki ,3713,1940,1773,173,192,123,52,40,69,679,672,453,322,174,133,133,131,131,122,62,36,10,6,23017
00240,Länsi-Pasila,Helsinki ,5116,2797,2319,166,162,191,85,63,79,447,585,480,360,249,228,310,324,337,397,283,162,119,89,22500
00250,Taka-Töölö,Helsinki ,11314,6216,5098,308,316,378,124,105,158,1117,1774,1437,982,740,572,609,478,517,498,439,349,199,214,24745
00260,Keski-Töölö,Helsinki ,5471,2938,2533,116,149,177,68,36,50,423,699,558,429,329,281,302,294,257,362,333,236,147,225,25502
00270,Pohjois-Meilahti,Helsinki ,7706,4360,3346,201,265,405,158,121,119,669,1002,812,634,492,484,464,416,377,323,299,209,123,133,23748
00280,Ruskeasuo,Helsinki ,2967,1669,1298,89,102,122,40,35,50,377,375,289,214,203,155,150,155,114,107,126,78,71,115,22428
00290,Meilahden sairaala-alue,Helsinki ,165,100,65,5,6,7,0,1,3,7,15,22,17,8,9,16,11,6,16,10,3,1,2,26642
00300,Pikku Huopalahti,Helsinki ,5794,3181,2613,193,280,384,183,129,111,316,467,437,392,370,362,435,410,325,303,252,160,115,170,23737
00310,Kivihaka,Helsinki ,870,481,389,28,25,32,14,9,6,67,103,94,82,56,42,46,56,52,57,38,29,16,18,23401
00320,Etelä-Haaga,Helsinki ,10170,5624,4546,274,319,351,160,94,141,1032,1521,1210,843,599,497,504,462,449,456,375,295,215,373,23268
00330,Munkkiniemi,Helsinki ,8569,4846,3723,241,330,478,204,143,163,465,651,668,561,529,505,495,473,451,473,515,387,321,516,27084
00340,Kuusisaari-Lehtisaari,Helsinki ,1699,866,833,35,77,113,64,45,58,103,62,66,106,121,118,151,132,105,106,78,65,49,45,32520
00350,Munkkivuori-Niemenmäki,Helsinki ,9316,5098,4218,259,389,510,210,121,160,797,950,808,807,609,588,605,507,465,441,376,263,197,254,23383
00360,Pajamäki,Helsinki ,1868,989,879,76,60,69,17,15,21,146,207,227,166,101,98,116,116,116,81,76,55,40,65,22466
00370,Reimarla,Helsinki ,6699,3533,3166,266,323,429,193,117,118,482,590,555,530,439,367,390,368,358,360,255,225,166,168,22860
00380,Pitäjänmäen teollisuusalue,Helsinki ,4455,2294,2161,155,184,228,107,90,93,279,430,409,364,280,320,342,301,294,217,157,106,66,33,23385
00390,Konala,Helsinki ,6242,3171,3071,220,277,331,154,98,159,455,547,542,489,373,402,458,422,393,332,254,166,92,78,23388
00400,Pohjois-Haaga,Helsinki ,9610,5189,4421,316,326,386,138,125,152,850,1111,999,794,569,461,532,463,472,529,425,320,254,388,20910
00410,Malminkartano,Helsinki ,8710,4552,4158,316,389,487,232,173,241,926,925,788,660,486,503,571,539,547,440,263,130,58,36,20020
00420,Kannelmäki,Helsinki ,14029,7479,6550,374,529,695,288,255,286,1246,1347,1200,970,843,753,858,846,868,879,697,463,291,341,20214
00430,Maununneva,Helsinki ,5045,2568,2477,168,273,375,195,153,150,292,259,273,329,352,377,406,336,355,349,214,97,50,42,26796
00440,Lassila,Helsinki ,4558,2496,2062,156,142,164,63,45,64,364,506,446,292,191,174,226,229,308,341,265,183,150,249,21435
00500,Sörnäinen,Helsinki ,12688,6341,6347,219,163,148,52,44,151,1500,2671,2190,1372,740,657,617,506,469,419,300,195,135,140,20823
00510,Etu-Vallila - Alppila,Helsinki ,9329,4792,4537,222,190,174,51,33,80,812,1649,1489,1099,663,450,482,427,422,400,273,182,120,111,21080
00520,Itä-Pasila,Helsinki ,7231,3661,3570,246,274,244,91,72,94,635,959,940,727,435,347,360,355,360,391,295,184,116,106,21225
00530,Kallio,Helsinki ,18517,9673,8844,357,280,261,85,82,205,1655,3112,2709,1893,1118,970,1008,865,885,991,792,516,363,370,21531
00540,Kalasatama,Helsinki ,2380,1247,1133,94,105,84,27,30,28,287,330,290,215,147,106,135,105,127,116,75,37,21,21,24357
00550,Vallila,Helsinki ,9570,5120,4450,248,242,235,89,84,131,1213,1525,1312,964,589,460,511,452,375,383,282,193,135,147,20039
00560,Toukola-Vanhakaupunki,Helsinki ,13432,7231,6201,583,729,759,271,159,175,1320,1493,1507,1310,945,679,719,606,674,628,420,236,131,88,23833
00570,Kulosaari,Helsinki ,3861,2080,1781,113,166,262,104,90,100,217,290,294,290,289,233,252,210,179,198,193,154,112,115,27184
